Rank,WCA ID,Name,Elo
605,2022GREE08,Ethan Norman Greenberg,1134
606,2022MEEK01,Thomas Meeks,1134
607,2023GOPE01,Elijah Gopez,1134
608,2018LEIH01,Haochen Lei (雷昊晨),1134
609,2022HARP02,Nylan Harper,1132
610,2022PATI09,Sumedh Patil,1130
611,2017MART29,Ricky Martin,1130
612,2022BAKE01,Matthew Baker,1130
613,2023CLAW01,Jace Clawson,1129
614,2022DIEG02,Dante Dieguez,1128
615,2016KELL12,Simon Kellum,1128
616,2023ELLI12,Elijah Elliot,1128
617,2019TEAG01,Philip Teague,1127
618,2023ALFO05,Weston Alford,1126
619,2022PARP01,Ali Jawad Parpia,1125
620,2020TAYL01,Zach Taylor,1125
621,2016YADA04,Aarav Yadav,1124
622,2019STEW03,Eli Stewart,1123
623,2022RICE04,Daniel I. Rice,1122
624,2022LANH02,Oscar Lanham,1122
625,2023BURK14,Elaine Burkert,1122
626,2022BYUN01,Aiden Byun,1122
627,2022PARK14,Caden Parker,1121
628,2018SMIT39,Declan Smith,1118
629,2023DRES04,Christian Jr. Dresdner,1118
630,2016ODON02,Hudson O'Donnell,1118
631,2022BROC05,Harrison Brock,1118
632,2023PINZ01,Joel Pinzur,1118
633,2022LANK02,Daniel Lankin,1117
634,2019FARN01,Isaac M. Farnsworth,1116
635,2023SCHE07,Conrad Scheepers,1116
636,2023BROD06,Carlos Broderick,1115
637,2017PETI02,Rachel Petitt,1114
638,2023PATT10,Liam Patterson,1114
639,2023THOM43,Henry Thomson,1113
